,acc,err
0,20.5,1.5327191084623337
1,19.5,1.6013156259059906
2,16.5,1.566324371099472
3,14.499999999999998,1.4861339342594146
4,19.0,1.3553386595845223
5,33.0,1.2589851108193397
6,43.5,1.1529729783535003
7,51.5,1.0942222644388675
8,46.0,1.0649530025571585
9,51.0,1.0303997426480054
10,52.0,0.9864002917334438
11,55.00000000000001,0.9353395150601864
12,56.49999999999999,0.9439385895058513
13,56.99999999999999,0.9344039809703827
14,57.49999999999999,0.9411831755191088
15,56.49999999999999,0.8952623954787851
16,58.5,0.9089282074943185
17,58.5,0.8825292022898793
18,60.5,0.8764162929914892
19,60.5,0.865385399358347
20,60.0,0.8808331647515297
21,62.0,0.8957431507762521
22,61.5,0.8899533442687243
23,61.0,0.9107152324356139
24,62.0,0.9098365943972021
25,62.5,0.8947639197204262
26,61.0,0.9039832278061658
27,60.0,0.9007962405402213
28,58.5,0.9260412592627109
29,62.5,0.9189419165672734
30,61.5,0.8879924765368924
31,62.5,0.9047932717949152
32,61.0,0.9336151909967885
33,61.5,0.9353536752285436
34,59.5,0.9481790923001244
35,61.5,0.9529831524845213
36,62.5,0.9470005926582963
37,61.5,0.9685150276124478
38,62.0,0.9683151727635413
39,60.5,0.9698305972618982
40,61.0,0.953678055969067
41,61.0,0.9717301247129216
42,62.5,0.9634760465472937
43,61.0,0.9715591977583244
44,62.0,0.9536454020207747
45,61.5,0.9538820938812569
46,61.5,0.9810367461992427
47,62.0,0.9823580408003181
48,58.5,1.0316130235348828
49,60.0,0.9958085275976919
50,61.5,0.9599771773139946
51,60.5,0.9655147022940218
52,58.5,1.0278015139885246
53,61.5,0.9734788377583027
54,60.0,0.9800999716017396
55,61.0,0.9757914626249112
56,61.5,0.9296720282034948
57,61.5,0.9743419270589948
58,60.5,0.9760605106130242
59,61.0,0.936364302856382
60,62.0,0.9377398768160492
61,61.0,0.9566798703651875
62,60.5,0.9609060100512579
63,60.5,0.9620259189140051
64,60.5,0.969193067739252
65,61.0,0.989494331581518
66,60.0,0.9858931734785438
67,61.0,0.9901880808698479
68,59.0,0.9724755948083476
69,59.0,1.0291244774556254
70,60.0,1.000447805947624
71,61.0,0.9940170577040408
72,60.0,1.0282411070296076
73,61.0,1.0074981692654545
74,60.0,1.0002967734681443
75,59.5,1.0023939269129187
76,57.99999999999999,1.0272546963219065
77,59.5,1.0266526558902114
78,59.5,1.0385807940142695
79,61.0,1.0198209330183454
80,57.49999999999999,0.9953665503876983
81,58.5,1.0084937352268026
82,60.0,1.0635395179881015
83,61.0,1.0487732516136021
84,59.0,1.0164275468472623
85,57.99999999999999,1.045497960424982
86,58.5,1.0439888985577273
87,59.0,1.0133578059164574
88,59.0,1.0072386511147489
89,59.5,1.0422913331264863
90,59.5,1.0511427630329855
91,59.5,1.042404901125701
92,59.0,1.0244222315991647
93,59.5,1.0691579689504578
94,59.5,1.053732662848488
95,58.5,1.0934546842309647
96,59.5,1.0078255225674366
97,59.0,1.1172958132787607
98,59.0,1.124225855957775
99,59.0,1.094502403687511
