,acc,err
0,27.0,1.3290794649720192
1,40.5,1.2005812054127454
2,53.5,1.0595685184001922
3,53.5,1.0271683584526181
4,48.0,1.0586508712917566
5,51.5,1.2122153873927892
6,51.0,1.0927507626940496
7,54.50000000000001,1.1672642063815146
8,51.0,1.1556538641406222
9,56.49999999999999,1.19420889666304
10,56.49999999999999,1.2690729341702536
11,57.49999999999999,1.1989001018600538
12,57.49999999999999,1.197203771188506
13,57.99999999999999,1.1880056712159421
14,57.49999999999999,1.1990478970261755
15,55.00000000000001,1.3046796869375976
16,57.49999999999999,1.416708010151051
17,59.0,1.2185751114381127
18,56.49999999999999,1.3898003458950552
19,57.99999999999999,1.3522858238419575
20,60.0,1.397602518067033
21,57.99999999999999,1.3409285808467393
22,56.99999999999999,1.4967048404768866
23,56.00000000000001,1.3678965538807097
24,60.0,1.315166547199042
25,60.0,1.540709396770617
26,54.0,1.5847433500734769
27,55.50000000000001,1.5301918958482565
28,60.5,1.526626818727491
29,61.0,1.5402701051600525
30,59.5,1.522974527151696
31,60.5,1.6447366536820756
32,58.5,1.474490116335228
33,57.99999999999999,1.4982589822039971
34,61.0,1.570108132282562
35,60.5,1.626804253737173
36,61.0,1.607990400904555
37,58.5,1.6166677120615622
38,61.0,1.4286201123675892
39,62.0,1.5729233537888194
40,61.5,1.5358253345549473
41,62.5,1.527905590267219
42,62.0,1.682876679462006
43,64.5,1.706725251037069
44,62.5,1.7265426307182679
45,63.0,1.4644410549890563
46,61.0,1.5211407041147071
47,62.0,1.55181825414721
48,63.0,1.6479483871835532
49,63.0,1.4894809545665033
50,61.0,1.6717513753343132
51,61.0,1.694640450127689
52,61.0,1.5527776292709223
53,57.99999999999999,1.8558546780893312
54,60.0,1.8023907312844267
55,60.0,1.5993092566845997
56,61.5,1.51649920289992
57,62.5,2.0084437565336053
58,60.5,1.6552488408714203
59,60.0,1.9050462654741518
60,60.0,1.829185181346623
61,61.0,1.7448580430510106
62,60.5,1.8540332330862088
63,59.5,1.7268281053330383
64,57.99999999999999,1.7231842976467255
65,59.0,1.9235969397757595
66,59.5,1.7886496699144856
67,62.0,1.6127890448461535
68,60.5,1.6363903270150235
69,60.5,1.846283982641683
70,59.5,1.9707427637797628
71,62.5,1.7520256878851543
72,60.5,1.853735240640469
73,58.5,2.0255024522516805
74,62.0,1.8931680435860778
75,60.0,1.9088167992310008
76,58.5,1.8994358052264904
77,61.5,2.109807227079417
78,59.5,1.814164678477855
79,60.0,1.9339241967156702
80,56.49999999999999,1.9028699935443356
81,57.99999999999999,1.9014406880355859
82,57.49999999999999,2.1248060167386074
83,61.5,1.8446406818845298
84,56.99999999999999,2.278391779906001
85,56.49999999999999,2.136469277500357
86,57.99999999999999,2.110315675766777
87,60.0,1.9119005292813391
88,57.99999999999999,1.856141044247703
89,58.5,1.712125194187012
90,59.0,1.989109029519699
91,56.49999999999999,1.932884947491558
92,59.5,2.0123861495937896
93,59.5,1.8855489739710833
94,57.99999999999999,2.0603031519159565
95,57.99999999999999,2.0111957814904686
96,57.99999999999999,1.8430787606706087
97,57.99999999999999,1.8384442017696403
98,53.5,2.157917085463872
99,57.49999999999999,2.124337457640701
